county.FIPS,state,female,above_65,median_house_income,unemployment,smoking,flu_vaccination,some_college,social_association,traffic,black,hispanic,RUCC,poverty,population.density,avg_obs_ill_0316_0322,avg_exp_ill_0316_0322,avg_exp_ill_0330_0405,bl_hisp,avg_social_distance_score
16085,ID,0.481930985,0.251064215,60285,0.037643516,0.11845525,0.42,0.565614618,14.03574436,40.50288613,0.003351146,0.047097183,8,8.4,3.10872911,4.518343184,2.666817884,1.700538646,0.050448329,1.142857143
17001,IL,0.508182247,0.202310819,55174,0.03882285,0.154571871,0.41,0.680682977,14.64504635,98.74137798,0.037630726,0.016608059,5,12.3,76.51426567,4.600181602,5.126881866,3.413971006,0.054238785,1.014285714
17027,IL,0.481946917,0.172241558,66597,0.035724801,0.150212063,0.4,0.666971359,11.96363056,49.44389931,0.035548235,0.03150987,1,8.2,79.22968213,4.772684307,5.043199074,3.103413789,0.067058105,0.685714286
17011,IL,0.509017064,0.219167702,56099,0.050086257,0.147116047,0.42,0.583841463,16.54483651,69.91894472,0.00788046,0.094626133,7,11.6,37.54530914,4.741051356,5.259959876,4.100748616,0.102506592,1.342857143
17015,IL,0.501327557,0.255100615,51963,0.044518272,0.143499594,0.46,0.570659489,15.84240254,59.02707469,0.010410844,0.038638904,7,11.4,32.15979857,4.774327267,5.372009491,4.362281593,0.049049748,0.714285714
17021,IL,0.491136218,0.199350908,52936,0.05290827,0.156591561,0.42,0.560486398,14.5006344,82.6054871,0.01616607,0.01653348,6,12.5,45.53835744,4.613114238,5.346510533,3.42209366,0.03269955,0.728571429
31175,NE,0.503818616,0.253221957,48604,0.028790787,0.141785654,0.39,0.649823737,19.00689,58.18978825,0.003579952,0.030310263,9,12.4,7.319778189,3.992529502,4.262699487,2.806818403,0.033890215,1.428571429
17027,IL,0.481946917,0.172241558,66597,0.035724801,0.150212063,0.4,0.666971359,11.96363056,49.44389931,0.035548235,0.03150987,1,8.2,79.22968213,4.772684307,5.043199074,3.103413789,0.067058105,0.685714286
30029,MT,0.501537618,0.195375394,54382,0.047894043,0.158335794,0.43,0.639942187,13.9,123.6884004,0.002732455,0.028460619,5,11.2,20.40348608,4.162421763,3.300100534,2.317398057,0.031193074,1.114285714
17121,IL,0.51108453,0.196916534,46096,0.049443132,0.17383113,0.46,0.609102316,22.42625719,126.892718,0.041759702,0.021105795,4,19.5,65.00279544,4.769905558,5.374935374,3.055196448,0.062865497,1.114285714
17101,IL,0.439517919,0.174310181,43767,0.058853035,0.178135061,0.45,0.498588491,16.69965364,38.08289404,0.097177292,0.038883603,7,17.5,42.12477833,4.494216096,4.600865726,2.918911646,0.136060894,1.142857143
17057,IL,0.479594765,0.206262197,51258,0.062467157,0.167848467,0.35,0.596287439,16.80432925,90.54252338,0.037825738,0.031052692,6,14.2,39.67190388,5.060102242,5.388529828,3.702409126,0.06887843,0.957142857
17059,IL,0.51166469,0.232898379,43330,0.057518488,0.170271566,0.31,0.573913044,11.81102362,22.51085028,0.006524318,0.017200475,8,20.5,14.94412976,4.380706713,4.557680767,3.213280519,0.023724792,1
46059,SD,0.501226242,0.253218884,52568,0.022988506,0.126584013,0.57,0.743348983,21.36100092,26.99399493,0.001226242,0.013795218,9,9.8,2.2212013,4.568186044,4.677763433,3.653904799,0.015021459,1.142857143
6105,CA,0.486078979,0.272836059,40680,0.056936478,0.14700217,0.36,0.595555556,5.507907782,19.28314363,0.005105704,0.075309134,8,21.6,3.864118896,3.721342494,4.504177651,3.028759589,0.080414838,0.857142857
17083,IL,0.511283014,0.194992448,59117,0.048514582,0.145915942,0.4,0.669766481,8.203819334,42.4434052,0.007232114,0.014830412,1,8.9,58.96227692,5.585993862,5.747507729,3.278804906,0.022062526,1.242857143
17101,IL,0.439517919,0.174310181,43767,0.058853035,0.178135061,0.45,0.498588491,16.69965364,38.08289404,0.097177292,0.038883603,7,17.5,42.12477833,4.494216096,4.600865726,2.918911646,0.136060894,1.142857143
17119,IL,0.513092668,0.171991333,60121,0.045179268,0.164769642,0.51,0.701435154,13.63835014,155.8447132,0.086670624,0.033812169,1,13.8,367.4865144,5.202497587,5.633346368,3.428439957,0.120482793,0.814285714
17121,IL,0.51108453,0.196916534,46096,0.049443132,0.17383113,0.46,0.609102316,22.42625719,126.892718,0.041759702,0.021105795,4,19.5,65.00279544,4.769905558,5.374935374,3.055196448,0.062865497,1.114285714
17083,IL,0.511283014,0.194992448,59117,0.048514582,0.145915942,0.4,0.669766481,8.203819334,42.4434052,0.007232114,0.014830412,1,8.9,58.96227692,5.585993862,5.747507729,3.278804906,0.022062526,1.242857143
17137,IL,0.492376972,0.200111844,48976,0.044086087,0.161365253,0.42,0.600893612,14.49789928,81.55134002,0.068724982,0.024811632,4,15.2,59.17473936,5.360462243,5.986991457,3.778352625,0.093536614,1.057142857
17139,IL,0.510498064,0.189033091,59901,0.03841042,0.156962604,0.43,0.639846743,13.61655773,86.74208712,0.005435891,0.015288442,6,9.6,43.16544621,3.900011967,4.94629814,3.044774203,0.020724332,1
37055,NC,0.506917619,0.214213309,64768,0.051130925,0.157578202,0.48,0.68824882,15.23587911,124.2845181,0.024163722,0.073039095,4,8.3,96.52339471,4.643122101,4.516449192,3.44551796,0.097202816,1.342857143
17179,IL,0.508494045,0.187647361,61508,0.048787202,0.153013273,0.52,0.693547908,13.92987134,149.3246245,0.012574814,0.023199928,2,9.6,203.0956747,4.776171229,5.55517981,4.25541369,0.035774742,1.057142857
17137,IL,0.492376972,0.200111844,48976,0.044086087,0.161365253,0.42,0.600893612,14.49789928,81.55134002,0.068724982,0.024811632,4,15.2,59.17473936,5.360462243,5.986991457,3.778352625,0.093536614,1.057142857
26045,MI,0.508577204,0.185784787,66716,0.034692732,0.171766355,0.47,0.722624708,11.64849074,161.9480329,0.066687305,0.054804873,2,9.3,191.7104211,5.501616526,3.954255914,3.087056108,0.121492179,0.871428571
30027,MT,0.487267165,0.24511833,49147,0.037203669,0.146499754,0.34,0.648627139,15.05623948,106.8692848,0.002339602,0.023755962,7,12.2,2.546200286,4.303984965,3.111956875,2.074594853,0.026095564,1.285714286
34001,NJ,0.515731137,0.179373769,60826,0.058847263,0.156441948,0.48,0.592837942,8.187671811,288.4941284,0.1456397,0.19221336,2,12.8,474.4826345,4.84341326,3.229453043,2.384818472,0.337853061,2.114285714
42131,PA,0.498225246,0.211787325,57599,0.044958533,0.179852874,0.48,0.547238252,8.784130005,82.68824755,0.008541004,0.019041633,2,11.8,67.43682674,5.14933779,4.030240651,3.169993578,0.027582637,0.914285714
42013,PA,0.510343533,0.207727852,49244,0.04206196,0.185420621,0.43,0.569575512,18.14396916,143.6217798,0.018825719,0.013062078,3,14.4,231.7021681,4.014177094,4.840737638,3.932347849,0.031887797,1.1
18029,IN,0.502723531,0.177110232,66502,0.036353896,0.200873821,0.53,0.582423435,11.45935948,121.7056142,0.006415429,0.013315042,1,9.4,162.1414287,5.406778104,4.499471422,3.063766906,0.019730471,1.971428571
18083,IN,0.493644125,0.178398157,48606,0.032543126,0.203962583,0.48,0.592941177,17.59624613,117.7794967,0.028675972,0.022360754,5,15.7,70.91448172,4.599313033,4.718865374,2.919691279,0.051036726,1.014285714
55045,WI,0.503100544,0.187142896,63160,0.025514519,0.145198261,0.58,0.685072532,9.769070039,83.06130068,0.006932221,0.030924206,2,7.7,63.2920063,4.934964428,5.776939156,4.791013551,0.037856427,1.057142857
18067,IN,0.514569118,0.194934803,55365,0.040616284,0.211917753,0.47,0.601928088,16.39085512,59.40973201,0.074776,0.034553092,3,12.3,281.6624582,4.614313199,4.048139334,2.974419027,0.109329092,0.914285714
18079,IN,0.49885915,0.164391004,51560,0.036431608,0.217662388,0.47,0.493261038,7.963512633,102.5141279,0.008040274,0.025786824,6,14.8,73.64968931,4.913508344,4.906666081,3.240427265,0.033827098,0.971428571
18083,IN,0.493644125,0.178398157,48606,0.032543126,0.203962583,0.48,0.592941177,17.59624613,117.7794967,0.028675972,0.022360754,5,15.7,70.91448172,4.599313033,4.718865374,2.919691279,0.051036726,1.014285714
18029,IN,0.502723531,0.177110232,66502,0.036353896,0.200873821,0.53,0.582423435,11.45935948,121.7056142,0.006415429,0.013315042,1,9.4,162.1414287,5.406778104,4.499471422,3.063766906,0.019730471,1.971428571
18115,IN,0.504791239,0.220910335,58022,0.034989066,0.167369763,0.43,0.558800922,8.579272478,75.12957636,0.005304586,0.014715948,1,9.7,68.20292547,5.317702161,4.643009356,3.073475938,0.020020534,1
42061,PA,0.468495395,0.207359192,49019,0.052852095,0.186484378,0.41,0.476360966,17.14624871,66.48852827,0.05532678,0.020124867,6,13.7,51.61437849,4.111064676,3.964982605,3.170947236,0.075451647,0.814285714
18141,IN,0.513108863,0.158004365,54674,0.035625475,0.190419885,0.51,0.647714073,11.31514529,263.5114514,0.132144875,0.089138054,2,13.5,593.7009938,4.71493982,3.501129826,2.513309566,0.221282929,1.385714286
18145,IN,0.503374969,0.171417039,57193,0.03099806,0.205874818,0.52,0.527816868,11.03727897,196.7942412,0.012221649,0.043751261,1,11.6,108.7899793,5.055562824,4.839769778,3.316657493,0.055972911,1.714285714
29089,MO,0.500443918,0.192660551,45767,0.028353107,0.196286555,0.39,0.539835828,10.84919617,58.82388127,0.048929664,0.015783763,6,13.1,21.56084941,4.241755698,4.36640167,2.990236596,0.064713426,0.857142857
6045,CA,0.504565897,0.221057918,51386,0.039380587,0.129054138,0.28,0.571933493,7.839305597,96.4246638,0.007682122,0.256203913,4,17.5,24.74061272,3.771625315,4.518376272,3.100107124,0.263886035,0.957142857
18177,IN,0.515636375,0.191564547,45130,0.035952617,0.212556828,0.47,0.576940714,13.74933897,161.3774002,0.04853191,0.031333414,5,16,163.9966147,5.925170216,4.561149714,3.29144308,0.079865324,0.814285714
21149,KY,0.508106355,0.194552529,48080,0.04924154,0.205879224,0.47,0.597661958,18.47625258,18.3552612,0.008322525,0.016104626,3,13.9,36.46769913,4.678155778,4.209907693,2.956053434,0.024427151,1.142857143
19003,IA,0.499314129,0.230727023,51577,0.019348749,0.156367121,0.45,0.698064516,10.85187195,145.4043989,0.003292181,0.014540466,9,12.7,8.506518043,4.38428244,4.477905599,3.047283411,0.017832648,1.142857143
55073,WI,0.497267921,0.177068258,63442,0.026662887,0.151532788,0.53,0.691837048,13.6297999,202.4345376,0.007982101,0.02816995,3,7.5,87.82767414,4.743249687,5.768445975,4.503928737,0.036152051,1.057142857
19015,IA,0.494724057,0.184240492,63099,0.021395788,0.160366725,0.59,0.682877564,13.97069929,189.7169087,0.011538754,0.027214758,6,8.8,45.89814021,4.338489396,5.063855303,4.191176613,0.038753511,1.828571429
27049,MN,0.504083788,0.196625218,67039,0.02747642,0.147697907,0.49,0.704465391,19.86869385,122.9056599,0.012693145,0.034652932,4,7.1,61.22826489,3.665911964,5.99500283,4.627357135,0.047346077,1.671428571
19015,IA,0.494724057,0.184240492,63099,0.021395788,0.160366725,0.59,0.682877564,13.97069929,189.7169087,0.011538754,0.027214758,6,8.8,45.89814021,4.338489396,5.063855303,4.191176613,0.038753511,1.828571429
19131,IA,0.50156117,0.211562116,59558,0.018667132,0.151523137,0.28,0.623992414,18.81290565,292.7030088,0.006055445,0.014097833,7,9.2,22.56517383,3.498312927,6.301642265,4.606427705,0.020153279,0.857142857
19131,IA,0.50156117,0.211562116,59558,0.018667132,0.151523137,0.28,0.623992414,18.81290565,292.7030088,0.006055445,0.014097833,7,9.2,22.56517383,3.498312927,6.301642265,4.606427705,0.020153279,0.857142857
