county.FIPS,state,female,above_65,median_house_income,unemployment,smoking,flu_vaccination,some_college,social_association,traffic,black,hispanic,RUCC,poverty,population.density,avg_obs_ill_0316_0322,avg_exp_ill_0316_0322,avg_exp_ill_0330_0405,bl_hisp,avg_social_distance_score
29027,MO,0.488761166,0.162712469,53970,0.029307156,0.181710428,0.51,0.532519601,9.548765322,68.98106046,0.043707813,0.022009847,3,11.7,53.61139735,5.068347633,5.306934508,3.419747563,0.065717659,0
17023,IL,0.503398307,0.198576558,54092,0.05170418,0.160577199,0.36,0.651755379,17.75860976,44.21238334,0.004360092,0.015773275,6,11.1,30.7945435,4.074290098,4.534120775,2.801672051,0.020133368,0.142857143
17005,IL,0.480156344,0.18556825,54800,0.0437634,0.165710085,0.46,0.619995205,11.21076233,34.31851164,0.059951894,0.036139507,1,13.8,43.19448827,4.86571233,5.179239782,3.09870227,0.096091401,0
17039,IL,0.505104953,0.192212569,55300,0.050778159,0.154787298,0.43,0.645633653,13.80002509,123.7571107,0.00786353,0.029488236,3,11,39.33989082,3.774049972,4.54866403,3.182693249,0.037351766,0.342857143
17045,IL,0.509792627,0.217569124,51577,0.04673913,0.153602903,0.32,0.615134865,15.58171745,114.6687311,0.006336406,0.0125,6,13.5,27.52939667,4.494772921,5.022903918,3.262076427,0.018836406,0.385714286
17051,IL,0.47217034,0.18985805,47484,0.052905199,0.174332428,0.4,0.521779254,16.06683805,56.6076093,0.043752335,0.018257378,6,14.9,29.77891916,4.791130125,5.214701907,3.040971003,0.062009712,0
55067,WI,0.49569234,0.239568196,51334,0.039592523,0.164462186,0.39,0.568044222,19.31106472,87.74340518,0.011054598,0.020240814,6,12.7,22.04010843,4.915154081,5.714156965,4.471051385,0.031295412,0.285714286
21033,KY,0.517892253,0.208572552,43659,0.047241188,0.197406889,0.5,0.590515749,17.40644038,8.684896675,0.054659851,0.016044043,7,18,36.97032977,4.375170994,3.919881381,2.709228569,0.070703893,0.3
17065,IL,0.510964106,0.218424599,53028,0.043623414,0.160295689,0.35,0.719977864,35.39175006,38.04712171,0.006860223,0.017150557,7,12.3,18.67163595,4.789674134,5.169683583,3.653545795,0.02401078,0.571428571
17069,IL,0.49258312,0.257033248,41713,0.078183172,0.179581925,0.17,0.598493003,7.414730598,7.680945463,0.00511509,0.022506394,9,20,21.52312285,4.362242164,4.503770876,3.132315561,0.027621483,0.142857143
17131,IL,0.500544837,0.216652779,58384,0.052819943,0.151545654,0.44,0.650605971,17.92803176,30.75170055,0.007499519,0.025062496,2,9,27.50712758,4.515740524,5.511779741,4.407069043,0.032562015,0.428571429
17051,IL,0.47217034,0.18985805,47484,0.052905199,0.174332428,0.4,0.521779254,16.06683805,56.6076093,0.043752335,0.018257378,6,14.9,29.77891916,4.791130125,5.214701907,3.040971003,0.062009712,0
51800,VA,0.515567253,0.14436585,69753,0.032239742,0.164380707,0.47,0.673897416,12.63339872,170.4869537,0.415210835,0.046707244,1,10.9,230.1721768,4.630814733,4.364978801,3.431914936,0.461918079,0.242857143
17045,IL,0.509792627,0.217569124,51577,0.04673913,0.153602903,0.32,0.615134865,15.58171745,114.6687311,0.006336406,0.0125,6,13.5,27.52939667,4.494772921,5.022903918,3.262076427,0.018836406,0.385714286
17131,IL,0.500544837,0.216652779,58384,0.052819943,0.151545654,0.44,0.650605971,17.92803176,30.75170055,0.007499519,0.025062496,2,9,27.50712758,4.515740524,5.511779741,4.407069043,0.032562015,0.428571429
17181,IL,0.49890149,0.213585892,49716,0.064663883,0.169234309,0.52,0.586663398,14.11764706,76.29191702,0.012350811,0.053441007,6,17.4,40.27717312,5.014268116,4.923501979,3.168922723,0.065791818,0.242857143
36107,NY,0.503109555,0.202924218,60309,0.043869665,0.156594055,0.49,0.61310248,11.93956112,281.6949858,0.008669687,0.021478583,2,10.2,92.94832241,4.446415549,3.835240837,3.038737503,0.03014827,0.342857143
17165,IL,0.506441897,0.202668786,40761,0.06508756,0.18731812,0.25,0.663793103,19.91535972,111.7208,0.037856605,0.018907387,6,20.3,61.84771734,4.633117893,4.790429338,3.445665782,0.056763992,0.642857143
39063,OH,0.50539971,0.172685368,61579,0.034125563,0.183665079,0.53,0.67666473,13.59664176,123.7098528,0.017002502,0.055551166,4,9.9,142.620822,4.870862929,4.211411999,3.267246062,0.072553668,0.385714286
17181,IL,0.49890149,0.213585892,49716,0.064663883,0.169234309,0.52,0.586663398,14.11764706,76.29191702,0.012350811,0.053441007,6,17.4,40.27717312,5.014268116,4.923501979,3.168922723,0.065791818,0.242857143
17189,IL,0.500678814,0.201143266,66937,0.03012987,0.148982268,0.47,0.736394041,24.94654312,50.46798349,0.008645945,0.014433726,6,7.4,24.6849281,5.12625108,5.078344554,3.085706339,0.023079671,0
17193,IL,0.507354555,0.216099524,49507,0.043081526,0.159895557,0.41,0.65,27.98105898,110.9221138,0.005561654,0.01485547,6,12.3,27.36018756,4.542705162,4.375450111,2.926340755,0.020417124,0.242857143
17201,IL,0.511987778,0.175368997,53795,0.057331653,0.170295166,0.49,0.597817827,10.07802569,271.146209,0.130216382,0.131198496,2,16.1,550.436341,4.948189078,5.721753962,4.571258587,0.261414878,0.857142857
18015,IN,0.497341879,0.196204104,57092,0.032735776,0.183413534,0.48,0.541529695,12.97469934,55.82678527,0.006359616,0.040940031,3,8.8,54.42211595,4.592535496,4.421228189,3.199912656,0.047299647,0.1
18021,IN,0.505922812,0.178639664,52699,0.039085307,0.199880034,0.41,0.563413484,15.65004962,138.862816,0.006801681,0.014252961,3,13.8,73.34843654,4.342725947,4.243664045,2.687149441,0.021054643,0.1
18109,IN,0.503408637,0.169347938,66151,0.033853594,0.194782561,0.52,0.564060939,9.897723524,126.2969104,0.004834845,0.015887957,1,10.6,174.49068,4.848192299,4.459262151,2.910772067,0.020722802,0.285714286
18051,IN,0.499611384,0.175654669,56960,0.026752247,0.192230856,0.53,0.61354986,14.89158923,120.1766153,0.020417314,0.016650723,6,10.6,69.04551888,4.500417915,4.471886671,2.812178368,0.037068038,0.1
18059,IN,0.508022161,0.162473314,73831,0.03032284,0.167737294,0.57,0.691803459,10.40208042,95.98026235,0.028107032,0.024387369,1,5.6,255.4342853,5.342897488,4.239714735,2.853938607,0.052494401,0.242857143
